"DateTime";"Final price"
"2021-03-04 15:05:06";9,99
"2021-05-27 17:06:27";7,49
"2021-05-31 17:17:20";9,99
"2021-06-05 09:05:59";7,49
"2021-06-07 17:17:16";9,99
"2021-06-24 17:37:25";7,49
"2021-07-08 17:17:24";9,99
"2021-10-19 17:05:53";7,49
"2021-10-21 17:15:52";9,99
"2021-10-28 17:39:52";7,49
"2021-11-01 18:49:30";9,99
"2021-11-24 18:14:32";7,49
"2021-12-01 18:20:54";9,99
"2021-12-22 18:05:27";7,49
"2022-01-05 18:58:30";9,99
"2022-01-27 18:24:28";7,49
"2022-02-03 18:24:41";9,99
"2022-03-05 18:02:21";6,99
"2022-03-07 18:40:26";9,99
"2022-03-26 14:46:44";9,99
