"DateTime";"Final price"
"2019-09-19 18:10:05";13,49
"2019-09-26 17:11:32";14,99
"2019-10-28 19:58:28";11,99
"2019-11-01 17:18:58";14,99
"2019-11-10 16:31:24";11,24
"2019-11-18 18:50:32";14,99
"2019-11-20 17:04:23";10,49
"2019-11-25 17:41:27";14,99
"2019-11-26 18:08:28";10,49
"2019-12-03 18:13:01";14,99
"2019-12-16 18:26:50";8,99
"2020-01-02 18:13:44";14,99
"2020-01-23 18:11:26";8,99
"2020-01-27 19:01:07";14,99
"2020-02-10 18:14:05";8,99
"2020-02-17 18:17:54";14,99
"2020-03-30 17:22:52";8,99
"2020-04-06 17:14:00";14,99
"2020-05-25 17:11:29";8,99
"2020-06-01 17:07:24";14,99
"2020-06-25 17:07:49";7,49
"2020-07-09 17:48:19";14,99
"2020-08-17 17:02:32";7,49
"2020-08-19 17:06:47";14,99
"2020-09-07 17:06:09";10,04
"2020-09-14 17:16:26";14,99
"2020-10-29 17:03:21";8,99
"2020-11-02 19:02:53";14,99
"2020-11-04 18:06:27";7,49
"2020-11-09 18:16:22";14,99
"2020-11-25 18:07:26";8,99
"2020-12-01 18:51:52";14,99
"2020-12-14 18:09:08";8,24
"2020-12-21 18:15:39";14,99
"2020-12-22 19:08:01";7,49
"2021-01-05 19:48:36";14,99
"2021-02-01 18:16:15";8,99
"2021-02-08 18:10:24";14,99
"2021-02-11 18:07:28";7,49
"2021-02-15 19:12:18";14,99
"2021-03-22 18:10:16";8,99
"2021-03-29 17:14:52";14,99
"2021-05-19 17:07:05";6,74
"2021-05-21 17:05:23";14,99
"2021-05-31 17:14:25";7,49
"2021-06-07 17:07:20";14,99
"2021-06-24 17:34:49";7,49
"2021-07-08 17:26:57";14,99
"2021-07-16 08:35:04";7,49
"2021-07-26 17:16:22";14,99
"2021-08-07 17:08:49";7,49
"2021-08-14 17:05:21";6,74
"2021-08-16 17:07:30";14,99
"2021-09-06 17:44:30";7,49
"2021-09-10 17:07:16";14,99
"2021-09-13 17:22:55";7,49
"2021-09-20 17:14:13";14,99
"2021-10-28 17:38:02";7,49
"2021-11-01 17:20:31";14,99
"2021-11-04 17:05:42";5,99
"2021-11-12 18:10:03";14,99
"2021-11-15 18:01:57";7,49
"2021-11-22 18:01:47";14,99
"2021-11-24 18:02:28";7,49
"2021-12-01 18:20:35";14,99
"2021-12-22 18:02:36";5,99
"2022-01-05 18:22:25";14,99
"2022-01-27 18:22:27";6,74
"2022-02-03 18:22:28";14,99
"2022-02-14 18:20:10";7,49
"2022-02-21 18:21:54";14,99
"2022-02-28 18:22:02";7,49
"2022-03-08 07:01:44";14,99
"2022-03-26 17:01:38";5,24
"2022-03-28 17:22:00";14,99
"2022-04-09 11:51:42";14,99
