"DateTime";"Final price"
"2020-06-11 16:10:12";5,12
"2020-06-18 17:12:31";5,69
"2020-07-12 17:10:33";4,55
"2020-07-14 17:10:24";5,69
"2020-07-30 17:06:53";4,55
"2020-08-11 17:06:01";5,69
"2020-10-13 17:05:59";4,55
"2020-10-27 17:01:34";5,69
"2020-10-29 17:01:38";4,55
"2020-11-02 19:21:18";5,69
"2020-11-25 18:05:30";3,98
"2020-12-01 18:45:01";5,69
"2020-12-22 19:03:49";3,98
"2021-01-05 18:49:29";5,69
"2021-02-11 18:05:42";4,55
"2021-02-15 19:04:42";5,69
"2021-03-02 18:06:04";4,26
"2021-03-16 18:06:47";5,69
"2021-05-09 17:07:12";4,26
"2021-05-10 17:15:29";5,69
"2021-06-24 17:36:58";3,98
"2021-07-08 17:31:12";5,69
"2021-08-18 17:07:51";3,98
"2021-08-30 17:30:34";5,69
"2021-08-31 17:06:00";3,98
"2021-09-07 17:08:25";5,69
"2021-10-14 17:15:39";3,98
"2021-10-22 17:05:43";5,69
"2021-10-28 17:39:32";3,98
"2021-11-01 18:56:35";5,69
"2021-11-24 18:04:17";3,98
"2021-12-01 18:20:50";5,69
"2021-12-22 18:10:01";3,98
"2021-12-22 18:13:15";3,98
"2022-01-05 18:58:10";5,69
"2022-01-27 18:24:07";3,98
"2022-02-03 18:24:15";5,69
"2022-02-21 18:22:46";3,98
"2022-02-28 18:23:00";5,69
"2022-03-26 14:42:45";5,69
