"DateTime";"Final price"
"2019-07-11 16:10:07";29,99
"2019-10-23 17:12:10";20,09
"2019-11-06 18:10:34";29,99
"2019-11-10 16:34:55";19,79
"2019-11-12 18:04:32";29,99
"2019-11-26 18:07:11";17,99
"2019-12-03 18:10:33";29,99
"2019-12-19 18:06:21";17,99
"2020-01-02 18:17:45";29,99
"2020-01-23 18:10:10";19,79
"2020-01-27 18:25:51";29,99
"2020-04-30 17:04:33";14,99
"2020-05-06 17:11:01";29,99
"2020-06-03 17:12:15";14,99
"2020-06-05 17:10:57";29,99
"2020-06-20 17:11:32";14,99
"2020-07-09 17:35:58";29,99
"2020-10-29 17:02:08";19,79
"2020-11-02 19:20:12";29,99
"2020-11-12 18:08:27";14,99
"2020-11-16 18:06:52";29,99
"2020-11-25 18:06:07";9,89
"2020-12-01 18:34:45";29,99
"2020-12-22 18:13:32";14,99
"2021-01-05 19:34:52";29,99
"2021-02-11 18:06:15";9,89
"2021-02-15 19:31:07";29,99
"2021-03-29 17:36:35";10,19
"2021-04-05 17:30:39";29,99
"2021-04-29 17:25:07";9,89
"2021-05-06 17:15:48";29,99
"2021-06-18 17:05:44";9,89
"2021-07-08 17:55:58";29,99
"2021-08-23 17:08:48";9,89
"2021-08-27 17:05:22";29,99
"2021-09-29 15:07:16";9,89
"2021-10-04 17:13:27";29,99
"2021-10-28 17:39:04";9,89
"2021-11-01 17:45:51";29,99
"2021-11-24 18:03:47";9,89
"2021-12-01 18:20:43";29,99
"2021-12-03 11:35:02";9,89
"2021-12-06 18:02:22";29,99
"2022-01-27 18:23:35";11,99
"2022-02-03 18:23:41";29,99
"2022-03-26 14:51:02";29,99
